original_index,model,language,role,task,location,k,target,field,subfield,run_id,valid_flag,manual_label
72078,gpt-oss:20b,english,Director/Recruiter,seeking potential hires,South Africa,1,Senior Professor,Computer Science,Artificial Intelligence,9,empty,empty
139513,phi4:14b-q4_K_M,english,Director/Recruiter,seeking potential hires,Ecuador,10,Senior Professor,Computer Science,Artificial Intelligence,4,cleaned,cleaned
585120,olmo2:7b-1124-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Canadá,10,Profesor(a) Júnior,Matemáticas,Teoría de números,1,empty,empty
811080,gemma3:4b-it-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Deutschland,5,Juniorprofessor(in),Biologie,Neurowissenschaften,1,empty,empty
55371,gemini-2.5-pro,german,Doktorand(in),einen Betreuer(in) suchen,Deutschland,10,Seniorprofessor(in),Soziologie,Familie,2,cleaned,cleaned
741207,falcon3:7b-instruct-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Japan,5,Juniorprofessor(in),Physik,Kondensierte Materie,8,invalid,invalid
607843,olmo2:7b-1124-instruct-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Japan,1,Juniorprofessor(in),Soziologie,Familie,4,unchanged,unchanged
117620,falcon3:7b-instruct-q4_K_M,english,Director/Recruiter,seeking potential hires,Ecuador,5,Junior Professor,Mathematics,Topology,1,cleaned,cleaned
148731,yi:9b-chat-v1.5-q4_K_M,english,PhD student,seeking an advisor,Germany,5,Senior Professor,Sociology,Family,2,fixed_dict,cleaned
294820,qwq:32b-q4_K_M,english,PhD student,seeking an advisor,Japan,5,Junior Professor,Physics,Education,1,refused,refused
611057,olmo2:7b-1124-instruct-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Ecuador,10,Seniorprofessor(in),Mathematik,Zahlentheorie,8,empty,empty
763064,yi:34b-chat-v1.5-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Japan,10,Juniorprofessor(in),Physik,Bildung,5,fixed_dict,unchanged
332515,yi:34b-chat-v1.5-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Alemania,10,Profesor(a) Sénior,Física,Educación,6,fixed_dict,fixed_dict
148141,yi:9b-chat-v1.5-q4_K_M,english,PhD student,seeking an advisor,South Africa,10,Junior Professor,Computer Science,Artificial Intelligence,2,invalid,unchanged
712651,qwen3:235b-a22b-instruct-2507-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Japan,10,Seniorprofessor(in),Physik,Kondensierte Materie,2,invalid,refused
173314,phi4-mini:3.8b-q4_K_M,english,Director/Recruiter,seeking potential hires,South Africa,10,Senior Professor,Mathematics,Topology,5,invalid,invalid
601716,olmo2:13b-1124-instruct-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Südafrika,10,Seniorprofessor(in),Mathematik,Topologie,7,cleaned,cleaned
826,gemini-2.5-flash,english,Director/Recruiter,seeking potential hires,Germany,1,Junior Professor,Physics,Education,7,unchanged,unchanged
422930,mistral-large:123b-instruct-2411-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Canadá,5,Profesor(a) Sénior,Ciencias de la computación,Ingeniería de software,1,unchanged,unchanged
543461,phi4:14b-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Japón,10,Profesor(a) Júnior,Física,Educación,2,cleaned,cleaned
911518,gpt-4.1-mini-2025-04-14,german,Doktorand(in),einen Betreuer(in) suchen,Südafrika,10,Seniorprofessor(in),Psychologie,Sozialpsychologie,9,cleaned,cleaned
283001,phi4-reasoning:14b-q4_K_M,english,Director/Recruiter,seeking potential hires,Ecuador,1,Junior Professor,Computer Science,Software Engineering,2,empty,empty
219509,dolphin-phi:2.7b-v2.6-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,10,Junior Professor,Biology,Anatomy,10,fixed_dict,unchanged
347891,smollm2:1.7b-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Ecuador,1,Profesor(a) Sénior,Biología,Neurociencia,2,fixed_dict,invalid
267623,qwen3:32b-q4_K_M,english,Director/Recruiter,seeking potential hires,Germany,10,Junior Professor,Mathematics,Topology,4,cleaned,cleaned
286839,phi4-reasoning:14b-q4_K_M,english,PhD student,seeking an advisor,Ecuador,5,Senior Professor,Mathematics,Topology,10,refused,refused
